Rank,Name,Symbol,Price,Volume_24h,Market_Cap,Circulating_Supply,Total_Supply,Max_Supply,Percent_Change_1h,Percent_Change_24h,Percent_Change_7d,Date_Added,Capture_Date
1,Bitcoin,BTC,105.0,0.0,1211789250.0,11540850.0,11540850.0,21000000.0,0.112443,1.85005,-0.512347,2013-04-28T00:00:00.000Z,2024-09-23
2,Litecoin,LTC,2.69429994,0.0,54533789.2595745,20240430.0,20240430.0,84000000.0,0.173502,5.04338,-9.95393,2013-04-28T00:00:00.000Z,2024-09-23
3,XRP,XRP,0.00441532,0.0,34518516.09806446,7817889792.0,99999997952.0,100000000000.0,0.122584,2.22634,-25.2101,2013-08-04T00:00:00.000Z,2024-09-23
4,Namecoin,NMC,0.67304999,0.0,4222475.33559293,6273643.0,6273643.0,,-0.574366,3.39144,9.03297,2013-04-28T00:00:00.000Z,2024-09-23
5,Peercoin,PPC,0.15854999,0.0,3159445.71232586,19927126.0,19927126.0,,0.263713,1.6139,-0.808536,2013-04-28T00:00:00.000Z,2024-09-23
6,Feathercoin,FTC,0.15225001,0.0,2001729.80183736,13147650.0,13147650.0,336000000.0,0.147127,1.64059,-6.71915,2013-05-03T00:00:00.000Z,2024-09-23
7,Novacoin,NVC,5.14604998,0.0,1799905.11451049,349764.40625,349764.40625,,0.362431,0.44754,-6.06244,2013-04-28T00:00:00.000Z,2024-09-23
8,Primecoin,XPM,0.88315499,0.0,1351773.91541411,1530619.125,1530619.125,,0.0766849,3.9163,34.395,2013-07-11T00:00:00.000Z,2024-09-23
9,Terracoin,TRC,0.1806,0.0,655735.08559324,3630869.75,3630869.75,42000000.0,-1.02018,-0.0659763,5.09566,2013-04-28T00:00:00.000Z,2024-09-23
10,Devcoin,DVC,5.67e-05,0.0,286724.5166941,5056869888.0,5056869888.0,,-0.772402,1.46099,-11.0784,2013-04-28T00:00:00.000Z,2024-09-23
11,Digitalcoin,DGC,0.03098655,0.0,212140.22249471,6846203.5,6846203.5,48166000.0,0.186485,-0.0773329,-14.0164,2013-06-09T00:00:00.000Z,2024-09-23
12,Freicoin,FRC,0.00661605,0.0,158239.86335381,23917574.0,23917574.0,,0.147124,-8.30631,-3.50963,2013-05-03T00:00:00.000Z,2024-09-23
13,WorldCoin,WDC,0.00819,0.0,126981.79614305,15504492.0,15504492.0,,1.30303,2.38277,-3.83223,2013-05-22T00:00:00.000Z,2024-09-23
14,Yacoin,YAC,0.021,0.0,115933.18643699,5520628.0,5520628.0,,-5.48701,-5.10401,5.83456,2013-06-09T00:00:00.000Z,2024-09-23
15,Megacoin,MEC,0.0059241,0.0,93483.77991328,15780250.0,15780250.0,42000000.0,-3.39594,10.7944,-19.3054,2013-07-07T00:00:00.000Z,2024-09-23
16,Mincoin,MNC,0.0700518,0.0,87569.46565772,1250067.375,1250067.375,,4.39712,-19.4078,-25.7348,2013-05-03T00:00:00.000Z,2024-09-23
17,Ixcoin,IXC,0.00578445,0.0,85022.82076057,14698514.0,14698514.0,,1.38683,3.84591,49.0134,2013-05-08T00:00:00.000Z,2024-09-23
18,Infinitecoin,IFC,1.13e-06,0.0,80005.12700379,70605864960.0,70605864960.0,,1.1823,56.1337,37.9781,2013-07-10T00:00:00.000Z,2024-09-23
19,Bullion,CBX,0.12809999,0.0,75822.85814924,591903.6875,591903.6875,,5.32229,-2.36962,24.7994,2013-08-04T00:00:00.000Z,2024-09-23
20,Phoenixcoin,PXC,0.0206808,0.0,71820.28251886,3472800.0,3472800.0,98000000.0,12.7425,20.2684,-11.974,2013-07-04T00:00:00.000Z,2024-09-23
21,GoldCoin,GLC,0.00205168,0.0,52649.41001834,25661660.0,25661660.0,72245700.0,-9.17696,-5.56288,1.69754,2013-06-14T00:00:00.000Z,2024-09-23
22,BBQCoin,BQC,0.0021105,0.0,47034.52031965,22285962.0,22285962.0,,-22.5786,-18.0689,-27.974,2013-05-08T00:00:00.000Z,2024-09-23
23,Fastcoin,FST,0.00236355,0.0,40527.43278019,17146848.0,17146848.0,165888000.0,1.4913,3.22731,-42.9904,2013-07-04T00:00:00.000Z,2024-09-23
24,CHNCoin,CNC,0.00714,0.0,37533.05159607,5256730.0,5256730.0,,0.147124,1.86571,-25.761,2013-05-08T00:00:00.000Z,2024-09-23
25,Luckycoin,LKY,0.0044793,0.0,26555.26265994,5928440.0,5928440.0,,0.456777,8.52527,-10.8473,2013-06-14T00:00:00.000Z,2024-09-23
26,Franko,FRK,0.46723321,0.0,21158.79648616,45285.30078125,45285.30078125,,0.18197,12.9418,-20.7848,2013-06-09T00:00:00.000Z,2024-09-23
27,Bytecoin,BTE,0.0186858,0.0,17335.75010765,927750.0,927750.0,,0.183761,9.19175,4.66377,2013-05-10T00:00:00.000Z,2024-09-23
28,BitBar,BTB,3.1500001,0.0,15576.61973428,4944.95849609375,4944.95849609375,,0.147127,1.90433,-6.72409,2013-05-09T00:00:00.000Z,2024-09-23
29,Anoncoin,ANC,0.0399,0.0,14967.79964582,375132.8125,375132.8125,,0.183775,0.784261,-57.9941,2013-07-15T00:00:00.000Z,2024-09-23
30,Bottlecaps,CAP,0.0209979,0.0,14702.59870428,700193.75,700193.75,,4.87766,11.2426,-25.966,2013-07-04T00:00:00.000Z,2024-09-23
31,Argentum,ARG,0.03160605,0.0,12398.3574329,392278.0,392278.0,,0.183765,-12.6468,-27.1234,2013-07-04T00:00:00.000Z,2024-09-23
32,CraftCoin,CRC,0.1201074,0.0,11206.26039568,93302.0,93302.0,,-4.5015,16.6209,-11.918,2013-07-07T00:00:00.000Z,2024-09-23
33,Bitgem,BTG,0.58910775,0.0,10887.59376515,18481.498046875,18481.498046875,,0.183768,-8.35511,-19.0148,2013-07-04T00:00:00.000Z,2024-09-23
34,AlphaCoin,ALF,0.00105,0.0,10672.25211947,10164050.0,10164050.0,,3.73399,21.9383,-6.83896,2013-07-07T00:00:00.000Z,2024-09-23
35,Krugercoin,KGC,0.00100065,0.0,9407.60091434,9401490.0,9401490.0,,0.18377,-5.96201,-28.1845,2013-07-07T00:00:00.000Z,2024-09-23
36,Lebowskis,LBW,0.0152586,0.0,9326.63805658,611238.125,611238.125,,0.183771,49.5186,236.512,2013-07-25T00:00:00.000Z,2024-09-23
37,CasinoCoin,CSC,0.0037443,0.0,7667.76473287,2047850.0,2047850.0,,8.25919,2.87206,-50.3888,2018-01-16T00:00:00.000Z,2024-09-23
38,Emerald Crypto,EMD,0.0044205,0.0,6647.3486512,1503755.0,1503755.0,32000000.0,-1.03856,17.4684,-22.0778,2013-08-04T00:00:00.000Z,2024-09-23
39,Spots,SPT,0.01355865,0.0,6637.75932594,489559.0,489559.0,,0.183772,-34.0757,48.7659,2013-07-25T00:00:00.000Z,2024-09-23
40,Memecoin,MEM,0.00024109,0.0,6189.61219265,25673450.0,25673450.0,,9.77295,14.8587,-2.11911,2013-06-09T00:00:00.000Z,2024-09-23
41,XenCoin,XNC,3.327e-05,0.0,5307.15928626,159515856.0,159515856.0,,0.74961,10.9633,-7.07718,2013-07-25T00:00:00.000Z,2024-09-23
42,GlobalCoin,GLC,0.0003696,0.0,5292.93059463,14320700.0,14320700.0,,0.183768,5.79757,-43.1926,2013-08-04T00:00:00.000Z,2024-09-23
43,StableCoin,SBC,0.00097755,0.0,4134.11293167,4229055.0,4229055.0,,0.183776,-10.8557,-31.9937,2013-07-07T00:00:00.000Z,2024-09-23
44,Nibble,NBL,0.00420105,0.0,3958.03598298,942154.0,942154.0,,0.183768,-15.9443,-3.11023,2013-06-14T00:00:00.000Z,2024-09-23
45,Doubloons,DBL,0.005087,0.0,2749.47109294,540489.8125,540489.8125,,4.19374,10.3707,0.684281,2013-07-04T00:00:00.000Z,2024-09-23
46,Hypercoin,HYC,0.00488748,0.0,2503.12446081,512150.0,512150.0,,-3.76815,-8.71785,1.31629,2013-07-04T00:00:00.000Z,2024-09-23
47,Elacoin,ELC,0.084105,0.0,1895.1665453,22533.33984375,22533.33984375,,0.18377,-7.36699,-28.8418,2013-06-09T00:00:00.000Z,2024-09-23
48,EZCoin,EZC,0.00024109,0.0,1559.02563568,6466571.0,6466571.0,,1.76729,15.7603,-8.48227,2013-07-04T00:00:00.000Z,2024-09-23
49,Junkcoin,JKC,0.00021853,0.0,1446.99066659,6621350.0,6621350.0,,-0.533002,,-26.2868,2013-06-14T00:00:00.000Z,2024-09-23
